       MD      Carbon(%)    ASH(%)       H2O(%)       BUMO(Gpa)    SHMO(Gpa)    STRN(Gpa)    POIS         VELP(KM/S)   VELS(KM/S)   LLV(mV)
   14.65       900000       900000       900000       900000       900000       900000       0.3744       900000       900000         3055
    14.7       900000       900000       900000       900000       900000       900000        0.375       900000       900000         3015
   14.75       900000       900000       900000       900000       900000       900000       0.3755       900000       900000         2990
    14.8       900000       900000       900000       900000       900000       900000       0.3761       900000       900000         2968
   14.85       900000       900000       900000       900000       900000       900000       0.3773       900000       900000         2952
    14.9       900000       900000       900000       900000       900000       900000       0.3788       900000       900000         2938
   14.95       900000       900000       900000       900000       900000       900000       0.3799       900000       900000         2926
      15       900000       900000       900000       900000       900000       900000       0.3797       900000       900000         2920
   15.05       900000       900000       900000       900000       900000       900000       0.3795       900000       900000         2915
    15.1       900000       900000       900000       900000       900000       900000       0.3785       900000       900000         2905
   15.15       900000       900000       900000       900000       900000       900000       0.3774       900000       900000         2902
    15.2       900000       900000       900000       900000       900000       900000       0.3753       900000       900000         2902
   15.25       900000       900000       900000       900000       900000       900000       0.3742       900000       900000         2897
    15.3       900000       900000       900000       900000       900000       900000       0.3746       900000       900000         2893
   15.35       900000       900000       900000       900000       900000       900000       0.3763       900000       900000         2884
    15.4       900000       900000       900000       900000       900000       900000       0.3779       900000       900000         2882
   15.45       900000       900000       900000       900000       900000       900000         0.38       900000       900000         2879
    15.5       900000       900000       900000       900000       900000       900000       0.3808       900000       900000         2872
   15.55       900000       900000       900000       900000       900000       900000       0.3816       900000       900000         2874
    15.6       900000       900000       900000       900000       900000       900000       0.3823       900000       900000         2868
   15.65       900000       900000       900000       900000       900000       900000       0.3832       900000       900000         2870
    15.7       900000       900000       900000       900000       900000       900000       0.3835       900000       900000         2866
   15.75       900000       900000       900000       900000       900000       900000       0.3837       900000       900000         2866
    15.8       900000       900000       900000       900000       900000       900000       0.3837       900000       900000         2868
   15.85       900000       900000       900000       900000       900000       900000       0.3831       900000       900000         2862
    15.9       900000       900000       900000       900000       900000       900000       0.3818       900000       900000         2855
   15.95       900000       900000       900000       900000       900000       900000       0.3812       900000       900000         2846
      16       900000       900000       900000       900000       900000       900000       0.3807       900000       900000         2850
